what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1302764896239
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302764901845
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302764909115
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302764917945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302764921402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302764922559
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302764922562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302764953969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302764959360
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302764983991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302764986657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302764998148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302765002490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302765009632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302765012251
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302765016590
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302765020346
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1302765020365
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302765027119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302765028368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302765038584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302765047974
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1302765048652
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1302765048705
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1302765048939
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1302765049054
activated,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1302765049067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302765060332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302765068585
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1302765068708
closed,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1302765068708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302765070639
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302765076337
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1302765088285
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1302765088367
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302765090727
opened,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1302765090996
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1302765091120
activated,perspective,,,"<Aptana_Web>",1302765095377
activated,view,com.aptana.ide.ui.io,2.0.5.1278614541,"com.aptana.ide.ui.io.fileExplorerView",1302765097845
opened,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1302765102185
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1302765102271
activated,view,com.aptana.ide.ui.io,2.0.5.1278614541,"com.aptana.ide.ui.io.fileExplorerView",1302765106800
