what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303485007465
error,log,,,"Multiple JavaScript Debug Sessions is not supported.\nPlease terminate the active session before starting a new session.",1303485007477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303485007498
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303485007764
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303485008422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303485008487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303485014295
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1303485025623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1303485036597
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1303485036930
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303485038924
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1303485044332
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1303485046890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303485048308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303485049869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303485050348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303485051139
error,log,,,"Multiple JavaScript Debug Sessions is not supported.\nPlease terminate the active session before starting a new session.",1303485051160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303485051254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303485052539
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1303485055238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303485064919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1303485072313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303485073382
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303485078829
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303485080479
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303485082113
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1303485089724
