what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303300911190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303300912185
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1303300912221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303300913471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1303300913487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303300914807
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303300916143
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303300931652
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303300937736
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303300947836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301209234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301211007
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301520806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301522301
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301523135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301523967
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301530961
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303301533733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301536037
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301538608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301540052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301540983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301541631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301554866
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301560365
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301561609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301562483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301563774
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301568482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301569258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301571576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301572435
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301573966
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301586601
activated,view,com.aptana.ide.ui.io,2.0.5.1278614541,"com.aptana.ide.ui.io.fileExplorerView",1303301592170
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1303301594099
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1303301596746
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1303301600756
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303301606112
executed,command,,,"AUTOGEN:::com.aptana.ide.debug.ui.BreakpointRulerActions/com.aptana.ide.debug.ui.actions.jsDoubleClickBreakpointAction",1303301608243
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1303301613232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301619280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301631322
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301635476
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301637141
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301643281
error,log,,,"Socket connection error. Please try shutting down and restarting your web browser, and then run 'debug' again.",1303301643328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301651438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301661210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301683102
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1303301685136
error,log,,,"Socket connection error. Please try shutting down and restarting your web browser, and then run 'debug' again.",1303301687678
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301687685
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301691743
activated,perspective,,,"<Aptana_Web>",1303301694285
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1303301695410
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1303301701158
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1303301705992
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1303301707412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301725967
error,log,,,"Socket connection error. Please try shutting down and restarting your web browser, and then run 'debug' again.",1303301731171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301733214
activated,perspective,,,"<Aptana_Web>",1303301735655
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303301740384
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1303301741489
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1303301741491
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1303301741493
