what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1303487295009
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1303487296195
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1303487297074
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1303487297104
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1303487297199
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1303487297808
error,log,,,"Operation details",1303487299124
error,log,,,"Operation details",1303487299229
error,log,,,"Operation details",1303487299266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303487313525
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1303487313572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303487328788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303487382684
activated,perspective,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.TeamSynchronizingPerspective",1303487384692
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1303487386725
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303487391488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303487397588
executed,command,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.synchronizeAll",1303487397591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303487399291
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303487400586
executed,command,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.synchronizeLast",1303487400590
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1303487410620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303487419687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303487451899
activated,perspective,,,"<Aptana_Web>",1303487452012
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1303487452054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303487461560
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303487464754
opened,view,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.RepositoriesView",1303487464951
activated,view,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.RepositoriesView",1303487464990
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1303487464990
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1303487464991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303487477730
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303487540038
