what,kind,bundleId,bundleVersion,description,time
error,log,,,"Multiple JavaScript Debug Sessions is not supported.\nPlease terminate the active session before starting a new session.",1303477730069
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477730125
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477730952
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1303477735265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477735293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477736452
error,log,,,"Multiple JavaScript Debug Sessions is not supported.\nPlease terminate the active session before starting a new session.",1303477736463
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477736478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477737391
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303477742408
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1303477742542
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1303477750040
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1303477752426
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1303477752439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477755438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477757336
error,log,,,"Multiple JavaScript Debug Sessions is not supported.\nPlease terminate the active session before starting a new session.",1303477757347
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477757366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477758175
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1303477760763
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303477762241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303477765588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1303477771364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303477775375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303477778959
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1303477779880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477779905
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477781795
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477781930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477782399
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1303477784803
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477784818
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303477786039
error,log,,,"Multiple JavaScript Debug Sessions is not supported.\nPlease terminate the active session before starting a new session.",1303477786050
