what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303502849606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303502851660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303502851768
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1303502855728
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303502858030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503065468
activated,perspective,,,"<Aptana_Web>",1303503066911
activated,view,com.aptana.ide.ui.io,2.0.5.1278614541,"com.aptana.ide.ui.io.fileExplorerView",1303503068864
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503075114
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503082430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303503085928
opened,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1303503088393
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1303503088473
activated,view,com.aptana.ide.ui.io,2.0.5.1278614541,"com.aptana.ide.ui.io.fileExplorerView",1303503090930
opened,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1303503092671
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1303503092754
activated,view,com.aptana.ide.ui.io,2.0.5.1278614541,"com.aptana.ide.ui.io.fileExplorerView",1303503095762
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1303503096149
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503102675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503119825
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1303503122425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503122474
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503136073
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1303503136321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503138154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503138264
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1303503140773
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503141126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503143619
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1303503147504
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1303503147526
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1303503149812
error,log,,,"Socket connection error. Please try shutting down and restarting your web browser, and then run 'debug' again.",1303503152431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503152445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503153520
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1303503155400
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1303503156908
activated,perspective,,,"<Aptana_Web>",1303503160730
activated,view,com.aptana.ide.ui.io,2.0.5.1278614541,"com.aptana.ide.ui.io.fileExplorerView",1303503161614
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1303503161819
error,log,,,"Socket connection error. Please try shutting down and restarting your web browser, and then run 'debug' again.",1303503170854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503170858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503172203
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1303503174561
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1303503174618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503175342
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503176613
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1303503176723
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.ExpressionView",1303503176773
opened,view,com.aptana.ide.debug.ui,2.0.0.1254164293,"com.aptana.ide.debug.ui.scriptsView",1303503176826
opened,view,com.aptana.ide.debug.ui,2.0.0.1254164293,"com.aptana.ide.debug.ui.AJAXMonitorView",1303503176879
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.ExpressionView",1303503192696
closed,view,com.aptana.ide.debug.ui,2.0.0.1254164293,"com.aptana.ide.debug.ui.scriptsView",1303503192702
closed,view,com.aptana.ide.debug.ui,2.0.0.1254164293,"com.aptana.ide.debug.ui.AJAXMonitorView",1303503192706
activated,perspective,,,"<Aptana_Web>",1303503192744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503195538
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503200627
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503202807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503209963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503211647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303503285829
activated,view,com.aptana.ide.ui.io,2.0.5.1278614541,"com.aptana.ide.ui.io.fileExplorerView",1303503285869
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1303503286067
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1303503299794
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303503301200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303503302286
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303503302957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303503303842
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303503304726
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303503305588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303503306906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303503309061
